1e+08 0.1 7.32
1e+08 0.1 6.65
1e+08 0.1 6.592
2e+08 0.2 13.296
2e+08 0.2 13.177
2e+08 0.2 13.18
3e+08 0.3 19.899
3e+08 0.3 19.787
3e+08 0.3 19.943
4e+08 0.4 26.658
4e+08 0.4 26.339
4e+08 0.4 26.476
5e+08 0.5 33.537
5e+08 0.5 33
5e+08 0.5 33.042
6e+08 0.6 40.408
6e+08 0.6 39.917
6e+08 0.6 40.044
7e+08 0.7 47.425
7e+08 0.7 46.966
7e+08 0.7 46.981
8e+08 0.8 55.5940000000001
8e+08 0.8 53.614
8e+08 0.8 53.6369999999999
9e+08 0.9 77.369
9e+08 0.9 63.268
9e+08 0.9 63.1260000000001
1e+09 1 1028.576
1e+09 1 561.047
1e+09 1 756.681
1.1e+09 1.1 689.452
1.1e+09 1.1 687.04
1.1e+09 1.1 743.618
1.2e+09 1.2 862.264
