4e+08 0.1 45.563
4e+08 0.1 45.575
4e+08 0.1 45.547
8e+08 0.2 91.085
8e+08 0.2 91.087
8e+08 0.2 91.088
1.2e+09 0.3 136.623
1.2e+09 0.3 136.665
1.2e+09 0.3 136.631
1.6e+09 0.4 182.17
1.6e+09 0.4 182.172
1.6e+09 0.4 182.175
2e+09 0.5 227.717
2e+09 0.5 227.742
2e+09 0.5 227.731
2.4e+09 0.6 273.263
2.4e+09 0.6 273.297
2.4e+09 0.6 273.286
2.8e+09 0.7 318.846
2.8e+09 0.7 318.842
2.8e+09 0.7 318.833
3.2e+09 0.8 364.376
3.2e+09 0.8 364.42
3.2e+09 0.8 364.333000000001
3.6e+09 0.9 409.858
3.6e+09 0.9 409.888
3.6e+09 0.9 409.884
4e+09 1 455.406
4e+09 1 455.395
4e+09 1 455.422
4.4e+09 1.1 940.553
4.4e+09 1.1 973.037
4.4e+09 1.1 966.517
4.8e+09 1.2 1443.523
4.8e+09 1.2 1461.758
4.8e+09 1.2 1448.68
5.2e+09 1.3 1627.371
5.2e+09 1.3 1642.757
5.2e+09 1.3 1629.074
5.6e+09 1.4 1794.135
5.6e+09 1.4 1802.373
5.6e+09 1.4 1820.837
6e+09 1.5 1988.85
6e+09 1.5 2012.149
6e+09 1.5 2011.406
6.4e+09 1.6 2211.161
6.4e+09 1.6 1856.212
6.4e+09 1.6 2240.812
6.8e+09 1.7 2395.809
6.8e+09 1.7 2420.547
6.8e+09 1.7 2419.437
7.2e+09 1.8 2593.027
7.2e+09 1.8 2608.126
7.2e+09 1.8 2610.18799999999
7.6e+09 1.9 2811.92
7.6e+09 1.9 2792.228
7.6e+09 1.9 2805.586
8e+09 2 2983.828
8e+09 2 2988.757
8e+09 2 2971.74900000001
