1e+08 0.1 12.601
1e+08 0.1 9.444
1e+08 0.1 9.661
2e+08 0.2 20.857
2e+08 0.2 19.202
2e+08 0.2 18.231
3e+08 0.3 26.559
3e+08 0.3 26.707
3e+08 0.3 26.537
4e+08 0.4 35.778
4e+08 0.4 35.711
4e+08 0.4 35.683
5e+08 0.5 44.717
5e+08 0.5 44.933
5e+08 0.5 45.902
6e+08 0.6 82.843
6e+08 0.6 83.455
6e+08 0.6 89.158
7e+08 0.7 111.096
7e+08 0.7 98.526
7e+08 0.7 114.464
8e+08 0.8 111.222
8e+08 0.8 115.425
8e+08 0.8 114.729
9e+08 0.9 129.091
9e+08 0.9 134.606
9e+08 0.9 127.992
1e+09 1 149.148
1e+09 1 142
1e+09 1 145.144
1.1e+09 1.1 156.883
1.1e+09 1.1 158.225
1.1e+09 1.1 157.572
1.2e+09 1.2 177.091
1.2e+09 1.2 176.272
1.2e+09 1.2 173.398
1.3e+09 1.3 191.217
1.3e+09 1.3 190.535
1.3e+09 1.3 189.266
1.4e+09 1.4 205.222
1.4e+09 1.4 206.838999999999
1.4e+09 1.4 206.319
1.5e+09 1.5 225.406
1.5e+09 1.5 223.079000000001
1.5e+09 1.5 236.473
1.6e+09 1.6 241.472000000001
1.6e+09 1.6 245.899
1.6e+09 1.6 255.374000000001
1.7e+09 1.7 260.371999999999
1.7e+09 1.7 274.336
